lineage_id	mag	contig	sample	n_windows_lineage	n_samples_lineage	window_start	window_end	marker_start	marker_end	marker_span_bp	n_windows	abundance	abundance_all_reads	reads	total_reads	junk_reads	window_group_ids	haplotype_ids
demo_contig_1_LIN000000	demo	demo_contig_1	T1	10	6	1	100001	10033	99951	89918	8	0.9477477477477477	0.5607675906183369	526	555	383	demo_contig_1_LIN000000_10001,demo_contig_1_LIN000000_20001,demo_contig_1_LIN000000_30001,demo_contig_1_LIN000000_40001,demo_contig_1_LIN000000_50001,demo_contig_1_LIN000000_60001,demo_contig_1_LIN000000_70001,demo_contig_1_LIN000000_90001	T1_demo_contig_1_10001_H0,T1_demo_contig_1_20001_H0,T1_demo_contig_1_30001_H0,T1_demo_contig_1_40001_H0,T1_demo_contig_1_50001_H0,T1_demo_contig_1_60001_H0,T1_demo_contig_1_70001_H0,T1_demo_contig_1_90001_H0
demo_contig_1_LIN000000	demo	demo_contig_1	T2	10	6	1	100001	10033	99951	89918	9	0.941717791411043	0.5732959850606909	614	652	419	demo_contig_1_LIN000000_10001,demo_contig_1_LIN000000_20001,demo_contig_1_LIN000000_30001,demo_contig_1_LIN000000_40001,demo_contig_1_LIN000000_50001,demo_contig_1_LIN000000_60001,demo_contig_1_LIN000000_70001,demo_contig_1_LIN000000_80001,demo_contig_1_LIN000000_90001	T2_demo_contig_1_10001_H0,T2_demo_contig_1_20001_H0,T2_demo_contig_1_30001_H0,T2_demo_contig_1_40001_H0,T2_demo_contig_1_50001_H0,T2_demo_contig_1_60001_H0,T2_demo_contig_1_70001_H0,T2_demo_contig_1_80001_H0,T2_demo_contig_1_90001_H0
demo_contig_1_LIN000000	demo	demo_contig_1	T3	10	6	1	100001	10033	99951	89918	9	0.5026595744680851	0.37351778656126483	378	752	260	demo_contig_1_LIN000000_10001,demo_contig_1_LIN000000_20001,demo_contig_1_LIN000000_30001,demo_contig_1_LIN000000_40001,demo_contig_1_LIN000000_50001,demo_contig_1_LIN000000_60001,demo_contig_1_LIN000000_70001,demo_contig_1_LIN000000_80001,demo_contig_1_LIN000000_90001	T3_demo_contig_1_10001_H0,T3_demo_contig_1_20001_H0,T3_demo_contig_1_30001_H0,T3_demo_contig_1_40001_H1,T3_demo_contig_1_50001_H0,T3_demo_contig_1_60001_H1,T3_demo_contig_1_70001_H1,T3_demo_contig_1_80001_H0,T3_demo_contig_1_90001_H0
demo_contig_1_LIN000000	demo	demo_contig_1	T4	10	6	1	100001	10033	99951	89918	10	0.04677754677754678	0.042492917847025496	45	962	97	demo_contig_1_LIN000000_1,demo_contig_1_LIN000000_10001,demo_contig_1_LIN000000_20001,demo_contig_1_LIN000000_30001,demo_contig_1_LIN000000_30001,demo_contig_1_LIN000000_40001,demo_contig_1_LIN000000_50001,demo_contig_1_LIN000000_60001,demo_contig_1_LIN000000_70001,demo_contig_1_LIN000000_80001,demo_contig_1_LIN000000_90001	T4_demo_contig_1_1_H2,T4_demo_contig_1_10001_H3,T4_demo_contig_1_20001_H1,T4_demo_contig_1_30001_H1,T4_demo_contig_1_30001_H2,T4_demo_contig_1_40001_H2,T4_demo_contig_1_50001_H1,T4_demo_contig_1_60001_H1,T4_demo_contig_1_70001_H1,T4_demo_contig_1_80001_H3,T4_demo_contig_1_90001_H1
demo_contig_1_LIN000000	demo	demo_contig_1	T5	10	6	1	100001	10033	99951	89918	8	0.0	0.0	0	911	55	demo_contig_1_LIN000000_10001,demo_contig_1_LIN000000_20001,demo_contig_1_LIN000000_30001,demo_contig_1_LIN000000_50001,demo_contig_1_LIN000000_60001,demo_contig_1_LIN000000_60001,demo_contig_1_LIN000000_70001,demo_contig_1_LIN000000_70001,demo_contig_1_LIN000000_80001,demo_contig_1_LIN000000_80001,demo_contig_1_LIN000000_90001	T5_demo_contig_1_10001_H2,T5_demo_contig_1_20001_H1,T5_demo_contig_1_30001_H1,T5_demo_contig_1_50001_H1,T5_demo_contig_1_60001_H1,T5_demo_contig_1_60001_H2,T5_demo_contig_1_70001_H3,T5_demo_contig_1_70001_H2,T5_demo_contig_1_80001_H1,T5_demo_contig_1_80001_H2,T5_demo_contig_1_90001_H1
demo_contig_1_LIN000000	demo	demo_contig_1	T6	10	6	1	100001	10033	99951	89918	4	0.002336448598130841	0.002242152466367713	1	428	18	demo_contig_1_LIN000000_20001,demo_contig_1_LIN000000_40001,demo_contig_1_LIN000000_70001,demo_contig_1_LIN000000_80001	T6_demo_contig_1_20001_H1,T6_demo_contig_1_40001_H1,T6_demo_contig_1_70001_H1,T6_demo_contig_1_80001_H1
demo_contig_1_LIN000001	demo	demo_contig_1	T1	10	6	1	100001	112	99951	99839	4	0.0	0.0	0	304	233	demo_contig_1_LIN000001_40001,demo_contig_1_LIN000001_40001,demo_contig_1_LIN000001_50001,demo_contig_1_LIN000001_60001,demo_contig_1_LIN000001_60001,demo_contig_1_LIN000001_60001,demo_contig_1_LIN000001_70001	T1_demo_contig_1_40001_H2,T1_demo_contig_1_40001_H3,T1_demo_contig_1_50001_H1,T1_demo_contig_1_60001_H1,T1_demo_contig_1_60001_H2,T1_demo_contig_1_60001_H3,T1_demo_contig_1_70001_H1
demo_contig_1_LIN000001	demo	demo_contig_1	T2	10	6	1	100001	112	99951	99839	6	0.03800475059382423	0.023494860499265784	16	421	260	demo_contig_1_LIN000001_40001,demo_contig_1_LIN000001_40001,demo_contig_1_LIN000001_50001,demo_contig_1_LIN000001_60001,demo_contig_1_LIN000001_70001,demo_contig_1_LIN000001_80001,demo_contig_1_LIN000001_80001,demo_contig_1_LIN000001_90001	T2_demo_contig_1_40001_H1,T2_demo_contig_1_40001_H2,T2_demo_contig_1_50001_H1,T2_demo_contig_1_60001_H1,T2_demo_contig_1_70001_H2,T2_demo_contig_1_80001_H1,T2_demo_contig_1_80001_H2,T2_demo_contig_1_90001_H1
demo_contig_1_LIN000001	demo	demo_contig_1	T3	10	6	1	100001	112	99951	99839	10	0.46875	0.34916201117318435	375	800	274	demo_contig_1_LIN000001_1,demo_contig_1_LIN000001_10001,demo_contig_1_LIN000001_20001,demo_contig_1_LIN000001_30001,demo_contig_1_LIN000001_40001,demo_contig_1_LIN000001_50001,demo_contig_1_LIN000001_60001,demo_contig_1_LIN000001_70001,demo_contig_1_LIN000001_80001,demo_contig_1_LIN000001_90001	T3_demo_contig_1_1_H1,T3_demo_contig_1_10001_H1,T3_demo_contig_1_20001_H1,T3_demo_contig_1_30001_H1,T3_demo_contig_1_40001_H0,T3_demo_contig_1_50001_H1,T3_demo_contig_1_60001_H0,T3_demo_contig_1_70001_H0,T3_demo_contig_1_80001_H1,T3_demo_contig_1_90001_H1
demo_contig_1_LIN000001	demo	demo_contig_1	T4	10	6	1	100001	112	99951	99839	9	0.9447576099210823	0.8559754851889684	838	887	92	demo_contig_1_LIN000001_1,demo_contig_1_LIN000001_10001,demo_contig_1_LIN000001_20001,demo_contig_1_LIN000001_30001,demo_contig_1_LIN000001_40001,demo_contig_1_LIN000001_50001,demo_contig_1_LIN000001_60001,demo_contig_1_LIN000001_70001,demo_contig_1_LIN000001_90001	T4_demo_contig_1_1_H0,T4_demo_contig_1_10001_H0,T4_demo_contig_1_20001_H0,T4_demo_contig_1_30001_H0,T4_demo_contig_1_40001_H0,T4_demo_contig_1_50001_H0,T4_demo_contig_1_60001_H0,T4_demo_contig_1_70001_H0,T4_demo_contig_1_90001_H0
