window_group_id	contig	window_start	window_end	n_members	n_samples	hap_start	hap_end	hap_span_bp	median_member_span_bp	n_markers	samples	haplotype_ids
demo_contig_1_LIN000000_1	demo_contig_1	1	20001	1	1	12399	19920	7521	7521.0	314	T4	T4_demo_contig_1_1_H2
demo_contig_1_LIN000000_10001	demo_contig_1	10001	30001	5	5	10033	29990	19957	19871.0	2127	T1,T2,T3,T4,T5	T1_demo_contig_1_10001_H0,T2_demo_contig_1_10001_H0,T3_demo_contig_1_10001_H0,T4_demo_contig_1_10001_H3,T5_demo_contig_1_10001_H2
demo_contig_1_LIN000000_20001	demo_contig_1	20001	40001	6	6	20040	39998	19958	19712.0	1969	T1,T2,T3,T4,T5,T6	T1_demo_contig_1_20001_H0,T2_demo_contig_1_20001_H0,T3_demo_contig_1_20001_H0,T4_demo_contig_1_20001_H1,T5_demo_contig_1_20001_H1,T6_demo_contig_1_20001_H1
demo_contig_1_LIN000000_30001	demo_contig_1	30001	50001	6	5	30002	49907	19905	19612.0	1884	T1,T2,T3,T4,T5	T1_demo_contig_1_30001_H0,T2_demo_contig_1_30001_H0,T3_demo_contig_1_30001_H0,T4_demo_contig_1_30001_H1,T4_demo_contig_1_30001_H2,T5_demo_contig_1_30001_H1
demo_contig_1_LIN000000_40001	demo_contig_1	40001	60001	5	5	40011	59995	19984	19767.0	1475	T1,T2,T3,T4,T6	T1_demo_contig_1_40001_H0,T2_demo_contig_1_40001_H0,T3_demo_contig_1_40001_H1,T4_demo_contig_1_40001_H2,T6_demo_contig_1_40001_H1
demo_contig_1_LIN000000_50001	demo_contig_1	50001	70001	5	5	50032	69846	19814	19650.0	2182	T1,T2,T3,T4,T5	T1_demo_contig_1_50001_H0,T2_demo_contig_1_50001_H0,T3_demo_contig_1_50001_H0,T4_demo_contig_1_50001_H1,T5_demo_contig_1_50001_H1
demo_contig_1_LIN000000_60001	demo_contig_1	60001	80001	6	5	60013	79995	19982	19982.0	2660	T1,T2,T3,T4,T5	T1_demo_contig_1_60001_H0,T2_demo_contig_1_60001_H0,T3_demo_contig_1_60001_H1,T4_demo_contig_1_60001_H1,T5_demo_contig_1_60001_H1,T5_demo_contig_1_60001_H2
demo_contig_1_LIN000000_70001	demo_contig_1	70001	90001	7	6	70010	89991	19981	19573.0	2822	T1,T2,T3,T4,T5,T6	T1_demo_contig_1_70001_H0,T2_demo_contig_1_70001_H0,T3_demo_contig_1_70001_H1,T4_demo_contig_1_70001_H1,T5_demo_contig_1_70001_H3,T5_demo_contig_1_70001_H2,T6_demo_contig_1_70001_H1
demo_contig_1_LIN000000_80001	demo_contig_1	80001	100001	6	5	80027	99951	19924	19091.0	1684	T2,T3,T4,T5,T6	T2_demo_contig_1_80001_H0,T3_demo_contig_1_80001_H0,T4_demo_contig_1_80001_H3,T5_demo_contig_1_80001_H1,T5_demo_contig_1_80001_H2,T6_demo_contig_1_80001_H1
demo_contig_1_LIN000000_90001	demo_contig_1	90001	100001	5	5	90001	99951	9950	9441.0	754	T1,T2,T3,T4,T5	T1_demo_contig_1_90001_H0,T2_demo_contig_1_90001_H0,T3_demo_contig_1_90001_H0,T4_demo_contig_1_90001_H1,T5_demo_contig_1_90001_H1
